University,Department,Overall Pay,LW Ratio,Academic Year,Field,School
lawrence technological university ,architecture ,20000.0,,2025-2026,Humanities,
Boston University (BU),Bioinformatics,46350.0,1.62,2025-2026,STEM,
North Carolina A&amp;T; State University (NC A&amp;T),Industrial and Systems Engineering,21250.0,,2023-2024,STEM,
North Carolina A&amp;T; State University (NC A&amp;T),Industrial and Systems Enginnering,17000.0,,2022-2023,STEM,
Brown University,Mathematics ,52000.0,2.29,2025-2026,STEM,Ivy
University of North Carolina - Chapel Hill (UNC),City and Regional Planning,20600.0,0.93,2025-2026,Social Science,
Northwestern University (NU),Communication Sciences & Disorders ,45000.0,1.85,2024-2025,Social Science,
Princeton University,Politics,49920.0,1.96,2024-2025,Social Science,Ivy
University of California - Berkeley,Chemistry,47000.0,1.69,2025-2026,STEM,
Georgia Institute of Technology (Georgia Tech),Chemistry,35408.0,1.52,2025-2026,STEM,
Sam Houston State University,Education ,30000.0,1.49,2025-2026,Social Science,
Case Western Reserve University,Biomedical Engineering,39834.0,1.99,2024-2025,STEM,
Binghamton University - SUNY,anthropology,21000.0,1.02,2022-2023,Humanities,
Texas A&amp;M; University - College Station,History Department,20250.0,,2024-2025,Humanities,
Rice University,Materials Science and NanoEngineering,34650.0,1.59,2025-2026,STEM,
Carnegie Mellon University (CMU),Materials Science and Engineering,38000.0,1.84,2025-2026,STEM,
University of Michigan - Ann Arbor (UM),Materials Science and Engineering,41300.0,1.79,2025-2026,STEM,
University of New Mexico (UNM),Psychology,19000.0,0.9,2024-2025,Social Science,
Massachusetts Institute of Technology (MIT),Political Science ,51000.0,1.83,2025-2026,Social Science,
University of Notre Dame (ND),Psychology,38000.0,1.86,2025-2026,Social Science,
University of Kansas (KU),psychology,20084.0,0.98,2025-2026,Social Science,
University of South Alabama (USA),Environment and Society ,21591.0,0.94,2025-2026,Social Science,
University of California - San Francisco (UCSF),Biomedical Informatics,50000.0,1.67,2025-2026,STEM,
University of Delaware (UD),Education,36000.0,1.42,2025-2026,Social Science,
University of Missouri (MU),English,21192.0,1.03,2025-2026,Humanities,
University of Missouri (MU),English,19992.0,0.97,2025-2026,Humanities,
Brown University,Engineering,49427.0,2.17,2024-2025,STEM,Ivy
University of Akron,Biomedical Engineering ,21000.0,1.06,2025-2026,STEM,
University of Texas - Austin (UT),Cell and Molecular Biology,41000.0,1.8,2025-2026,STEM,
Rice University,physics ,36000.0,1.65,2023-2024,STEM,
Old Dominion University (ODU),Biology,16000.0,0.6,2022-2023,STEM,
University of North Carolina - Chapel Hill (UNC),Computer Science,42931.0,1.93,2025-2026,STEM,
University of Cincinnati (UC),CHEMISTRY,28626.0,1.48,2025-2026,STEM,
Case Western Reserve University,Physics,37000.0,1.85,2025-2026,STEM,
University of Missouri (MU),Philosophy,19591.0,0.95,2025-2026,Humanities,
University of Massachusetts - Amherst (UMass),Department of chemical engineering ,41000.0,1.79,2024-2025,STEM,
University of Delaware (UD),Physics & Astronomy,32466.0,1.28,2024-2025,STEM,
University of Virginia (UVA),Computer Science,36790.0,1.61,2025-2026,STEM,
University of Pittsburgh,Nursing,32000.0,1.55,2024-2025,STEM,
Binghamton University - SUNY,History,21000.0,1.02,2024-2025,Humanities,
Drexel University (DU),Architectural Engineering,34000.0,1.41,2024-2025,Humanities,
Columbia University (CU),Earth and Environmental Science,46600.0,1.57,2024-2025,STEM,Ivy
University of Southern California (USC),Sociology,41200.0,1.59,2025-2026,Social Science,
University of Southern California (USC),Sociology,41200.0,1.59,2025-2026,Social Science,
Rice University,Electrical and Computer Engineering,35000.0,1.6,2024-2025,STEM,
University of Illinois - Chicago (UIC),Biological Sciences ,21485.0,0.89,2025-2026,STEM,
Purdue University - West Lafayette,Materials Engineering,34179.0,1.62,2025-2026,STEM,
University of Southern California (USC),Neuroscience ,33800.0,1.31,2024-2025,STEM,
Texas A&amp;M; University - College Station,Chemical Engineering,33000.0,,2024-2025,STEM,
University of Utah,Computer Science PhD,26982.0,1.21,2025-2026,STEM,
North Carolina State University (NCSU),Computer Science ,22110.0,0.97,2025-2026,STEM,
North Carolina State University (NCSU),Statistics,22500.0,0.99,2025-2026,STEM,
University of Wisconsin - Madison (UW),Food science ,35650.0,1.56,2025-2026,Social Science,
University of Virginia (UVA),Chemistry,36000.0,1.58,2025-2026,STEM,
University of Texas - Austin (UT),Economics,24750.0,1.08,2023-2024,Social Science,
North Carolina State University (NCSU),Chemical Engineering,38000.0,1.66,2025-2026,STEM,
University of Massachusetts - Amherst (UMass),Computer Science PhD,41186.0,1.8,2025-2026,STEM,
Ohio State University (OSU),Music,22000.0,1.1,2022-2023,Humanities,
University of South Florida (UCF),Electrical Engineering,28905.0,1.32,2024-2025,STEM,
Pennsylvania State University (Penn State),Statistics,33700.0,1.5,2024-2025,STEM,
University of Washington (UW),Molecular Engineering,40308.0,1.73,2025-2026,STEM,
University of Colorado - Boulder (UCB),Chemistry,39806.0,1.56,2025-2026,STEM,
Northwestern University (NU),Chemistry,46356.0,1.91,2025-2026,STEM,
Pennsylvania State University (Penn State),Computer Science ,24000.0,1.07,2025-2026,STEM,
Loyola University Chicago (LUC),Computer Science ,33600.0,1.38,2024-2025,STEM,
Georgia Institute of Technology (Georgia Tech),Chemcial and Biomolecular engineering,38822.0,1.67,2025-2026,STEM,
University of North Texas (UNT),Mathematics,18707.0,0.87,2021-2022,STEM,
The University of Texas at Dallas,Electrical and Computer Engineering,25800.0,,2024-2025,STEM,
University of California - Santa Barbara (UCSB),Chemical engineering,42598.0,1.62,2024-2025,STEM,
Rutgers the State University of New Jersey - New Brunswick,computer science,40000.0,1.55,2024-2025,STEM,
University of Texas Health Science Center - Houston,Quantitative Sciences,35960.0,1.65,2024-2025,STEM,
Stony Brook University - SUNY,Linguistics,26000.0,0.93,2022-2023,Social Science,
University of Iowa (UI),neuroscience ,35585.0,1.6,2022-2023,STEM,
University of Nebraska - Lincoln (NU),Accounting,39500.0,2.03,2024-2025,Business,
University of Michigan - Ann Arbor (UM),Chemistry,43750.0,1.9,2025-2026,STEM,
Georgia State University (GSU),Applied Linguistics,15000.0,0.64,2023-2024,Social Science,
Georgia Institute of Technology (Georgia Tech),Aerospace Engineering,31419.0,1.35,2025-2026,STEM,
University of Texas - Austin (UT),Computer Science,44000.0,1.93,2024-2025,STEM,
University of Nevada - Las Vegas (UNLV),Sociology,20373.0,0.9,2024-2025,Social Science,
Manitoba,Asper School of Business,21000.0,,2021-2022,Business,
University of Manitoba,Asper School of Business,21000.0,,2021-2022,Business,
Syracuse University,Chemistry,33000.0,1.55,2024-2025,STEM,
Purdue University - West Lafayette,Electrical and Computer engineering ,28000.0,1.32,2025-2026,STEM,
Drexel University (DU),Biomedical,30000.0,1.24,2024-2025,STEM,
Stanford University (SU),History,54952.0,1.91,2024-2025,Humanities,
Stanford University (SU),Philosophy,45000.0,1.57,2024-2025,Humanities,
Texas A&amp;M; University - College Station,Electrical engineering,31500.0,,2025-2026,STEM,
University of Pennsylvania,Communications ,40099.0,1.66,2025-2026,Social Science,Ivy
University of Wisconsin - Madison (UW),Genetics,33000.0,1.45,2024-2025,STEM,
University of Iowa (UI),Immunology,34500.0,1.56,2023-2024,STEM,
University of California - Los Angeles (UCLA),Communication,36000.0,1.39,2024-2025,Social Science,
University of Pittsburgh,Information technology ,22500.0,1.09,2022-2023,STEM,
University of Southern California (USC),Biology of Aging,40000.0,1.55,2024-2025,STEM,
University of Minnesota - Twin Cities (UM),chemical engineering and materials science,35750.0,1.56,2025-2026,STEM,
University of Toronto,Institute of Medical Science,34000.0,,2024-2025,STEM,
University of North Carolina - Charlotte (UNCC),Geography,19000.0,0.83,2024-2025,STEM,
Indiana University,Mathematics,23000.0,1.07,2024-2025,STEM,
Case Western Reserve University,Material Science and Engineering ,30000.0,1.5,2022-2023,STEM,
Georgia Institute of Technology (Georgia Tech),Electrical and computer engineering,29000.0,1.25,2024-2025,STEM,
University of Pennsylvania,Biomedical Graduate Studies,41500.0,1.72,2023-2024,Humanities,Ivy
Case Western Reserve University,Electrical Engineering ,19800.0,0.99,2024-2025,STEM,
University of Arizona (U of A),Astronomy & Astrophysics,38000.0,1.83,2024-2025,STEM,
University of Delaware (UD),Geography,23270.0,0.92,2024-2025,STEM,
University of Delaware (UD),Chemical Engineering,34000.0,1.34,2023-2024,STEM,
University of Notre Dame (ND),Computer Science and Engineering ,41325.0,2.02,2025-2026,STEM,
University of Notre Dame (ND),Computer Science and Engineering ,39925.0,1.95,2024-2025,STEM,
University of Houston (UH),Electrical and Computer Engineering,20500.0,0.94,2024-2025,STEM,
University at Albany - SUNY,History ,21000.0,0.92,2024-2025,Humanities,
UIC,Computer Science,22300.0,,2024-2025,STEM,
University of Alabama (UA),college of education,19800.0,0.94,2024-2025,Social Science,
University of Alabama (UA),college of education,55836.0,2.66,2024-2025,Social Science,
Purdue University - West Lafayette,Chemical Engineering,35000.0,1.65,2024-2025,STEM,
University of Tennessee - Knoxville,Materials Science and Engineering,30000.0,1.41,2024-2025,STEM,
University of Oregon (UO),Political Science,27000.0,1.29,2023-2024,Social Science,
Purdue University - West Lafayette,Chemical Engineering,35000.0,1.65,2024-2025,STEM,
Case Western Reserve University,Biology,28100.0,1.41,2023-2024,STEM,
Texas A&amp;M; University - College Station,Motor Neuroscience,30000.0,,2025-2026,STEM,
University of Arkansas - Fayetteville,Horticulture,17508.0,0.88,2025-2026,Humanities,
University of Maryland - College Park (UMD),Mathematics,27000.0,0.89,2022-2023,STEM,
University of Connecticut (UConn),Human Development Family Sciences,28214.0,1.16,2024-2025,Social Science,
Yale University (YU),Economics,59000.0,2.39,2024-2025,Social Science,Ivy
University of Chicago (UC),Physics,45000.0,1.85,2024-2025,STEM,
EPFL,CHEMISTRY,62059.0,,2024-2025,STEM,
University of Houston (UH),Chemistry,24600.0,1.13,2024-2025,STEM,
University of Louisiana - Lafayette,Computer Science,24000.0,1.14,2025-2026,STEM,
University of Texas - San Antonio (UTSA),Computer Science,24000.0,1.16,2025-2026,STEM,
Tulane University (TU),Political Science,24398.0,1.06,2023-2024,Social Science,
University of Southern California (USC),Comparative Literature,40000.0,1.55,2024-2025,Humanities,
Northeastern University (NU),English,26250.0,0.92,2022-2023,Humanities,
Northeastern University (NU),English,35750.0,1.25,2021-2022,Humanities,
Northeastern University (NU),English,35000.0,1.22,2020-2021,Humanities,
Northeastern University (NU),English,32800.0,1.15,2018-2019,Humanities,
University of Alaska - Fairbanks (UAF),Geosciences,19800.0,0.83,2024-2025,STEM,
Johns Hopkins University (JHU),Political Science,47000.0,1.83,2024-2025,Social Science,
Washington State University (WSU),Mechanical Engineering PhD,28000.0,1.48,2024-2025,STEM,
Arizona State University (ASU),School of Life Sciences ,30935.0,1.39,2023-2024,Social Science,
Carleton University,Geography and Environmental Studies ,22984.0,,2023-2024,Humanities,
Syracuse University,Geology,29940.0,1.4,2024-2025,STEM,
Stevens Institute of Technology,Biomedical Engineering,37500.0,1.41,2023-2024,STEM,
Louisiana State University - Baton Rouge,Biological Sciences,23000.0,1.06,2024-2025,STEM,
Temple University (TU),College of Education and Human Development,32950.0,1.37,2024-2025,Social Science,
SUNY Downstate Medical Center,Pharmacklov,23600.0,0.79,2022-2023,STEM,
University of Toledo,Medicinal Chemistry ,22900.0,1.22,2023-2024,STEM,
University of Arizona (U of A),Chemistry,29791.0,1.44,2024-2025,STEM,
University of Arizona (U of A),Chemistry,29841.0,1.44,2022-2023,STEM,
University at Buffalo - SUNY,computer science and engineering,23000.0,1.09,2022-2023,STEM,
University of Illinois - Urbana- Champaign (UIUC),Electrical and Computer Engineering ,32758.0,1.49,2024-2025,STEM,
University of Rochester (UR),The Institute of Optics,36000.0,1.68,2024-2025,STEM,
University of Florida (UF),School of Natural Resources and the Environment,29163.0,1.28,2024-2025,STEM,
New York University (NYU),Economics,43000.0,1.45,2024-2025,Social Science,
University of Kentucky (UK),Materials Engineering,29355.0,1.44,2025-2026,STEM,
Temple University (TU),Spanish and Portuguese,25000.0,1.04,2024-2025,Humanities,
Northeastern University (NU),Industrial Engineering,41000.0,1.43,2023-2024,STEM,
University of California - Irvine (UCI),political science,30000.0,1.03,2024-2025,Social Science,
West Virginia University (WVU),History,17051.0,0.76,2022-2023,Humanities,
University of Florida (UF),Education ,29300.0,1.29,2024-2025,Social Science,
Georgia Institute of Technology (Georgia Tech),Mechanical engineering ,26600.0,1.14,2023-2024,STEM,
Wayne State University,Psychology ,25627.0,1.23,2024-2025,Social Science,
University of Idaho (UI),Department of Earth and Spatial Sciences,24000.0,1.16,2024-2025,STEM,
University of Idaho (UI),Department of Earth and Spatial Sciences,18000.0,0.87,2024-2025,STEM,
